ACER,,
"Acer Swift 14 AI - Copilot+ PC (A14-52MT-94H5) 14"" FULLHD+ TOUCHSCREEN LAPTOP STEEL GRAY",USD 1.350,STK
"Processor: Intel® Core™ Ultra 9 processor 288V (Up to 48 NPU TOPS - Up to 67 GPU TOPS), Memory: 32GB LPDDR5X Onboard , Storage: 1TB PCIe Gen 4 Solid State Drive, Video Card: Intel® ARC™ 140V Graphics, Display:14"" Multi-Touch Display with IPS (In-Plane Switching) Technology, WUXGA 1920 x 1200, 100% sRGB, High Brightness (400nits) Acer ComfyView™ LED-backlit TFT LCD (16:10 Aspect Ratio), Wi-Fi 6E with 2.4GHz, 5GHz and 5GHz Bands and Bluetooth® 5.3",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,50Kg. - FHD IR Webcam (1920 x 1080) with Blue Glass supporting 1080p video",,
"ACER SWIFT 16 AI (SF16-71T-70PN) 16"" 3K OLED TOUCHSCREEN LAPTOP BASALT GRAY [Pad Numérico]",USD 1.550,STK
"Processor: Intel® Core™ Ultra X7 358H (Series 3 / Panther Lake), Memory: 16GB LPDDR5X-7467MHz RAM, Storage: 1 TB PCIe 4.0 NVMe SSD, Video Card: Intel Arc B390 Integrated, Display: 16"" 3K OLED Touchscreen, 2880 × 1800, 120 Hz, 340 nits, 100% DCI-P3, VESA DisplayHDR True Black 500, Wi-Fi 7 + Bluetooth.",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,37 Kg. - 5 megapixels 1800p (2.8K) Built-In Microphone",,
"ACER SWIFT GO (SFG16-I71T-79Q6) 16"" OLED FULL HD TOUCHSCREEN LAPTOP VAPOR SILVER (Pad Numérico)",USD 1.550,STK
"Processor: 2.3 gigahertz Intel Core Ultra 7 355 (8-core), Memory: 32GB LPDDR5X RAM, Storage: 1TB SSD, Video Card: Intel Graphics, Display: 16"" 1920 x 1200 (WUXGA) TouchScreen Brightness 250 nits, Wi-Fi 7, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,37 Kg. - 5 megapixels 1800p (2.8K) Built-In Microphone",,
"ACER SWIFT GO (SFG16-A71T-R87F) 16"" WUXGA TOUCHSCREEN LAPTOP OBSIDIAN BLACK [Pad Numérico]",USD 1.550,CONS
"Processor: 2 gigahertz AMD Ryzen AI 465 Series (10-core), Memory: 32GB LPDDR5X RAM, Storage: 1TB SSD, Video Card: AMD Radeon 880M, Display: 16"" LCD 1920 x 1200 (WUXGA) Touchscreen Anti-glare 120Hz Brightness: 350 nits, Wi-Fi 7, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,60 Kg. - 5 megapixels 1800p (2.8K) Built-In Microphone",,
"ACER ASPIRE (A16-52MT-91B0) 16"" FULL HD TOUCHSCREEN LAPTOP STEEL GRAY (Pad Numérico)",USD 1.450,STK
"Processor: Intel® Core™ Ultra 9 288V (Up to 48 NPU TOPs), Memory: 32GB LPDDR5X RAM. Storage: 1TB PCIe Gen 4 Solid State Drive and microSD™ Card Reader , Video Card: Intel® ARC™ 140V Graphics, Display: 16"" Multi-Touch IPS Touchscreen, WUXGA (1920 x 1200) 12Hz Refresh Rate, 100% sRGB, and 350 Nits Brightness, Intel® Wi-Fi 7 that supports dual-stream Wi-Fi in the 2.4GHz, 5GHz and 6GHz bands, including 2x2 MIMO Technology, Bluetooth 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,45Kg. - FHD IR Webcam (1920 x 1080) with Blue Glass Windows Hello, Temporal Noise Reduction & Privacy Shutter",,
ASUS,,
"ASUS ZENBOOK DUO DUAL (UX8407AA-DS99T) 14"" 3K OLED TOUCHSCREEN LAPTOP MOHER GRAY",USD 3.500,STK
"Processor: 2.1 gigahertz Intel Core Ultra 9 Series 386H up 4.9 gigahertz (16-core), Memory: 32GB LPDDR5X 8533 megahertz RAM, Storage: 1TB PCIe® G4 Solid State Drive, Video Card: Intel® Arc™ Integrated Graphics, Display: 14'' Dual OLED WQXGA+ (2880x1800) Touch 144Hz refresh rate; 16:10 aspect ratio; Bend+500nits (HDR 1000nits), Wi-Fi 7 + Bluetooth® 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,28Kg. - 1080p. Camera with IR Function to Support Windows Hello",,
"ASUS ZENBOOK DUO (UX8407AA-PSX9T) 14"" 3K OLED DUAL TOUCHSCREEN LAPTOP 144HZ BLACK",USD 3.500,STK
"Processor: 2.1 GHz Intel® Core™ Ultra X9 388H 2.1 GHz (18MB Cache, up to 5.1 GHz, 16 cores, 16 Threads), Memory: 32GB LPDDR5X RAM, Storage: 1TB PCIe® G4 Solid State Drive, Video Card: Intel® Arc™ Graphics, Display: 14'' Dual OLED WQXGA+ (2880x1800) Touch 144Hz refresh rate; 16:10 aspect ratio; Bend+500nits (HDR 1000nits), Wi-Fi 7(802.11be) (Tri-band) 2*2 + Bluetooth® 5.4",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,28Kg. - 1080p. Camera with IR Function to Support Windows Hello",,
"ASUS ZENBOOK 14 (UM3405GA-ZB70) 14"" 2K OLED TOUCHSCREEN LAPTOP JASPER GRAY",USD 1.550,ING
"Processor: 2 gigahertz AMD Ryzen AI Ryzen AI 9 465 (10-core), Memory: 16GB LPDDR5X 7500 megahertz RAM, Storage: 512GB PCIe® Gen 4 Solid State Drive, Video Card: AMD Radeon Integrated, Display: 14"" OLED (1920x1200) WUXGA Touscreen 60Hz 500 nits, AX Wi-Fi 6E, Bluetooth",,
"Windows 11 Home x 64 bits, preinstalado.
 Peso 1,28Kg. - 1080p. Camera with IR Function to Support Windows Hello",,
"ASUS ZENBOOK A14 (UX3407QA-X1P512) 14"" 2K OLED LAPTOP ZABRISKIE BEIGE",USD 1.250,STK
